segment,archetype,trigger,primary_package_fit,secondary_package_fit,add_on_fit,rationale,confidence
"B2B SaaS / AI SaaS","Seed founder with no marketing hire","Founder-led team; sporadic LinkedIn; little or no SEO base; wants visible presence without overbuilding","Foundation","Engine","Positioning + messaging audit; Content audit","Matches the public entry retainer for seed-stage B2B SaaS founders who need founder presence plus a light SEO base before a larger content system. Start with the pilot, then Foundation is the cleanest next step.","high"
"B2B SaaS / AI SaaS","Very early founder still sharpening ICP and message","Pre-revenue or low traction; unclear positioning; asks for strategy before volume","Project Track","Foundation","Positioning + messaging audit","The need is upstream clarity, not monthly content volume. A scoped diagnostic is safer than forcing a retainer too early; Foundation can follow once the message is clearer.","medium"
"B2B SaaS / AI SaaS","Series A team needing organic pipeline","PMF signals; active blog or resource center; founder willing to participate; lead pressure from content","Engine","Full Stack","Second founder LinkedIn ghostwriting; Content audit","This is the clearest Engine fit: founder brand plus company SEO working together to generate pipeline, with room to expand once attribution and distribution become priorities.","high"
"Revenue / sales / customer software","GTM-led company that wants demos from content","Webinars, product launches, case studies, and pipeline language are already visible","Engine","Full Stack","Second founder LinkedIn ghostwriting; GEO","The buyer already thinks in GTM terms, so Engine is the strongest commercial bridge from content to pipeline. Full Stack becomes relevant when they need tighter measurement and broader distribution.","high"
"Workflow / ops / automation software","Technical product needing clearer market-facing execution","Complex product narrative; frequent feature rollouts; lean team; content exists but lacks translation","Engine","Full Stack","Positioning + messaging audit; SEO technical audit","These companies usually need stronger translation from product depth to buyer-facing content. Engine fits the recurring execution need, while Full Stack is the upgrade if technical SEO and attribution also matter.","high"
"Analytics / data / infrastructure software","Technical company ready for authority assets and measurement","Active resource center; subject-matter depth; board or revenue accountability; CRM or GA4 access","Full Stack","Engine","GEO; pSEO setup","This segment can support the heavier research, technical SEO, and attribution layers inside Full Stack. Engine is the fallback when the team is not yet ready to operationalize the full measurement stack.","high"
"B2B SaaS / AI SaaS","Series B team that must prove content ROI","Leadership asks how content drives demos and pipeline; multiple stakeholders; existing content motion","Full Stack","Engine","GEO; pSEO setup; Second founder LinkedIn ghostwriting","Full Stack is the best fit when content has to be defended as a growth lever, not a line item. The added attribution and distribution layers matter more here than simple content volume.","high"
"B2B SaaS / Product-led software","Company with large integration, use-case, or comparison surface","Many product pages or templates to expand; strong SEO opportunity beyond editorial content","Full Stack","Project Track","pSEO setup; pSEO monthly maintenance","The retainer should be anchored in Full Stack if they also need the core content machine; pSEO is the natural add-on. If they only want the build, route it through a scoped project first.","high"
"B2B SaaS / AI SaaS","Founder already active but company content is weak","Founder has a point of view and some traction; brand page and blog are inconsistent or underpowered","Engine","Foundation","Content audit; Second founder LinkedIn ghostwriting","Foundation would underbuild the opportunity because the founder signal already exists. Engine is the better fit when the gap is turning isolated thought leadership into a company-level content system.","medium"
"Boutique agency / fractional marketing partner","Agency that needs white-label execution capacity","Overflow delivery; multi-client load; asks for backend content, SEO, social, or reporting support","White-Label / Capacity Track","Project Track","Content audit","This is not a clean fit for the public SaaS tiers. The right commercial route is a secondary custom capacity track or a scoped white-label arrangement built around delivery reliability.","high"
"B2B service business","Founder-led service firm with active marketing but lean team","Visible LinkedIn and blog motion; wants consistency and organic demand but does not need paid media","Foundation","Engine","Positioning + messaging audit","This is an adjacent ICP, not the homepage core, so Foundation is safer unless the team already behaves like a small content machine. Engine becomes more credible when content is clearly tied to pipeline goals.","medium"
"B2B service business","Established service firm with strong content motion","Case studies, webinars, active brand presence, and pressure to turn content into pipeline","Engine","Full Stack","SEO technical audit; GEO","When the need looks like recurring authority plus demand capture, Engine can work even outside SaaS. Confidence stays below core SaaS because the public positioning is still B2B SaaS-first.","medium"
"Education / EdTech","Lean marketing team with strong content need","Resource center, webinars, subject-matter depth, and founder or expert voice available","Engine","Foundation","Content audit; SEO technical audit","EdTech can fit the Engine model when the motion is content-heavy and expert authority matters. It is adjacent, so the package hypothesis should still be validated in the pilot.","medium"
"Selected DTC brand","Brand whose real need is content and social execution, not paid ads","Active organic and social motion; clear need for execution support; no request for performance marketing or video","Project Track","White-Label / Capacity Track","Content audit","This sits outside the cleanest public package narrative. A scoped project or capacity-style scope is safer than bending the SaaS tier structure around a lower-priority segment.","low"
